,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,430985.0759493672,472327.25,462711.41772151896,483523.5,460897.6202531646,480610.0253164557,436352.7179487179
1,419814.5063291139,452066.225,442959.64556962025,457571.3125,438408.5569620253,462099.25316455704,422710.2179487179
2,393564.64556962025,429949.3625,420029.92405063286,432461.025,415743.41772151896,446754.1392405064,403251.1038961039
3,380119.5189873418,413289.6875,401782.4556962025,417427.9875,401208.64556962025,420168.35443037975,385065.9871794872
4,367967.77215189865,407233.4375,391856.5443037975,409000.85,391891.0126582279,407691.6582278481,365279.6153846154
5,369046.35443037975,405578.7125,391287.37974683545,405305.025,390532.9873417721,400017.4556962025,356276.84615384607
6,384065.5696202532,419718.5875,403769.2025316456,414422.55,396167.5063291139,400269.25316455687,355094.91025641025
7,434878.75949367095,465241.4,448731.9873417721,458199.3125,432872.16455696203,407399.4683544304,362423.0128205128
8,493780.63291139243,520534.8125,508515.759493671,527621.4125,498466.670886076,439511.4303797468,363388.10256410256
9,529477.2784810128,569402.95,552792.9367088608,568790.2875,542915.9873417722,489150.4430379747,405408.7564102565
10,539701.2278481013,571484.5125,556285.8607594937,573643.0125,554798.8607594937,524064.7088607595,444967.5128205128
11,539798.3417721519,575423.075,556534.0253164558,571089.8375,552109.6582278481,539201.1012658228,478317.2435897436
12,543249.582278481,570479.4875,556020.4050632912,565207.4125,551464.6835443039,538522.8734177215,483035.43589743593
13,548994.0,571162.0,561522.2531645569,566923.8625,548590.3417721519,535992.7468354431,494405.58974358975
14,543230.1392405063,561020.35,551576.5569620254,555994.7875,537689.8227848101,523470.5949367089,489625.8717948718
15,533755.6582278481,557097.05,544560.493670886,552489.7125,525744.6835443039,508993.1518987342,478514.5256410256
16,536528.506329114,557763.65,547576.9240506329,559781.075,522684.25316455704,508808.2911392405,474382.3846153846
17,562507.1265822785,579856.1125,573857.0126582278,580360.275,542203.8860759494,532672.2911392405,499911.8076923078
18,579452.911392405,595509.25,591180.7215189872,602416.6125,566008.3291139241,557711.1265822785,523166.205128205
19,577462.2151898735,593318.45,590653.582278481,604205.65,562732.6075949367,564939.6075949367,523781.1794871796
20,555964.7088607595,570095.3375,566706.4810126582,580164.85,545067.582278481,544200.1265822785,507078.4743589744
21,530477.3797468354,552696.9625,544581.6582278481,561890.0125,522142.1518987342,521361.4810126582,492559.9487179487
22,510119.16455696203,532086.55,516516.4556962025,535059.95,499042.4810126582,495662.0,475581.79487179493
23,468303.58227848104,487093.7875,476457.759493671,488782.15,458364.8227848102,463571.7974683544,443930.0
