,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,625299.0,645787.5,646705.911392405,664565.05,646581.911392405,654470.493670886,603923.1282051282
1,617945.6962025317,635512.6375,640303.2531645569,661048.25,641704.6835443039,648650.2784810128,605236.3333333335
2,608046.0379746836,623544.65,623457.1139240506,641443.15,626529.5696202532,638988.5569620254,597349.3636363636
3,596739.3924050633,612281.4375,610572.8734177215,628201.2875,620337.4810126582,630734.4050632912,589662.3076923077
4,592503.7088607595,610986.3875,606468.1898734177,624947.55,617574.1645569621,629146.4430379746,583968.9230769231
5,590150.8607594937,610984.2375,602257.3291139241,621730.3125,616023.4683544304,625861.3291139241,582560.1538461539
6,596133.7594936709,628262.4875,613088.7848101265,636260.475,630953.0126582278,630639.1898734177,580565.1666666665
7,630026.7974683546,667522.65,657546.8227848101,679903.075,663809.7468354431,644903.2278481013,589681.4102564104
8,738206.6582278481,773116.825,779600.9620253164,801789.575,784587.0632911392,719760.911392405,643957.7692307692
9,767778.3670886076,813288.9875,810792.4810126581,830344.5375,811059.6455696203,748716.1772151898,669321.6923076923
10,789777.9620253164,829687.575,822586.6962025317,842953.0,822613.0506329114,775212.2784810127,702414.1538461539
11,800874.3797468354,830666.075,827837.0,848132.15,829471.4683544305,789266.4936708859,725151.7051282051
12,810460.3291139241,831794.175,825278.2405063291,848226.5,826881.1012658228,777049.9873417722,743060.1794871795
13,807201.1392405062,828721.975,819527.7341772151,839862.6375,817942.1139240506,776671.2151898735,748549.6538461539
14,803390.7468354431,828669.0,815387.582278481,839272.8125,812963.1645569621,771612.8607594938,749455.2948717949
15,803742.1518987344,830629.075,819594.9746835442,840690.1125,810687.7215189873,766155.7088607595,748145.6025641026
16,808269.5949367088,824349.2125,822581.5189873419,846628.9625,807819.7088607595,762517.0253164558,743802.7564102564
17,822669.1265822784,840710.5875,837383.8227848102,869057.0625,819120.4936708859,783626.7721518987,765232.2051282051
18,825681.8481012656,836340.9625,838337.7341772151,874346.8125,824179.8860759494,787758.4430379745,774715.0769230769
19,821527.8481012656,834548.3375,836783.9493670886,866323.2125,820591.417721519,782006.8354430379,779665.6410256409
20,804245.2151898735,814190.8875,818574.9367088608,845595.4375,810568.5696202532,773329.0,769944.782051282
21,786669.8860759494,800921.35,804810.8227848102,836630.125,783324.2531645569,757055.1392405062,755515.1666666665
22,763101.4683544305,783879.3125,781474.4430379745,804079.775,762313.3924050633,722719.2278481013,734213.6666666665
23,710996.2784810127,736964.9125,735652.9620253164,763847.2,720844.5443037973,690104.1012658228,696427.3076923077
