DeliveryPeriod,3000.0P,203.99P,95.2P,56.11P,41.07P,31.0P,23.4P,16.01P,9.1P,0.8P,-8.49P,-21.62P,-41.49P,-70.0P,-400.92P,-500.0P,-500.0S,-6.01S,15.59S,29.39S,38.0S,45.0S,51.31S,58.17S,65.0S,71.6S,79.29S,87.7S,97.07S,108.29S,122.48S,142.12S,170.99S,234.11S,380.24S,452.99S,498.9S,2781.38S,3000.0S
2020-05-22 00:00:00,1654.3497986726861,34098.464594330435,16375.786924384362,37775.53248718298,11611.34914335401,1594.0038882248373,2073.2376052164436,5889.222299934812,18499.349438785895,17733.54614746344,39589.12625856453,51411.009876707234,31405.538720602228,27300.978462326126,64847.98917560674,3985.7051144229777,1218.8144844267981,54692.36446154157,115287.67268403005,130043.9333714796,65930.83184703448,58123.29646210713,18124.32637340598,9187.36103142456,13316.66001784036,17663.746796147265,20489.938754884723,18718.558543181498,7570.718032897661,16979.295167977623,15507.286383300807,13984.014229829396,17725.56139187323,20147.099355540668,17196.262415776568,36094.77362870405,21645.05058109627,41273.59219449003,6110.529542905433
2020-05-22 01:00:00,1523.5514861914655,32193.224079932334,4124.231098724038,38764.27587528099,7844.123552146017,6399.7296977185615,-2815.434134953757,-633.3040455485643,6421.650294227307,16613.859707209605,31689.589684801125,57747.854147977196,43033.189252807846,26204.89307268503,67058.70650339016,3859.450793499695,1122.9880222856652,53183.30856665517,134756.56013420149,124124.07525879951,67656.41256527457,31589.799641862373,15587.632826549769,13115.645942308267,14844.65741096298,11509.611686999215,14524.909189793081,11333.690217183625,10973.161672597042,12899.47882372511,12652.345253367292,11897.568492754875,16950.040822939223,19830.518628027934,15622.548510443867,35444.15928581908,21489.72517911913,40932.07982698123,6043.229727206639
2020-05-22 02:00:00,1516.2827358547347,31272.773021033365,2035.1315734681048,31830.03280567246,3470.061610932189,6468.848638532874,-2435.9829992890336,-1910.0784604923465,5660.804547463871,14682.333540865558,26812.39976562073,48756.13117784102,50408.352280349485,27000.24522371634,67162.26276811076,3733.696452370657,1117.5650392169591,54193.70619736623,159050.48463927177,129807.69035138533,62595.98980113119,27013.63151921964,13980.082515587012,10730.425428904815,13632.630562086597,13922.326168379053,10794.188202922976,8975.02847520952,7928.372537487681,10782.324221906621,11023.469705703725,10746.392896292768,15799.917887696667,19327.627307355397,14967.003641466956,34818.873196990506,21245.420987597387,40916.35124340238,6058.592306780545
2020-05-22 03:00:00,1477.1876213170879,29754.27641258446,2076.03287288058,16839.729641995888,5307.542971326854,6810.712369839199,-2327.692040420119,-1785.5416309741122,3137.38963013576,14169.391012396482,24953.068109621392,47905.37875246868,48143.502023055335,27266.8416448307,70575.8383455169,3619.887177919516,1114.4039364866371,53294.86423504718,154909.31288134394,133580.151319997,57429.55939345881,25487.17446062903,12727.23041503875,10167.278010857895,14561.816831814038,14738.761326902302,9235.905753465264,9073.975399369421,9008.113156151916,10834.802817237138,8197.459496474194,10749.001646339033,14542.642585827029,17311.32370017237,14849.256148436692,34272.16865263428,20965.292816628247,40856.96904982743,6052.748211807806
2020-05-22 04:00:00,1452.1062111870083,29204.660595429857,1547.7006674152235,12090.69853311521,4366.129310513821,6410.626996309735,-2248.0865102284442,-3823.2030639228105,-1398.9063800285185,9835.203217987699,27347.47449303537,45959.6908573492,48453.35528169247,28894.82176109834,68361.3188560711,3517.0981864996347,1098.2810523413268,52902.108116348434,163032.31733555853,135756.43019064362,57565.666017555006,26721.4704826003,14158.653697683294,11125.670602180566,15866.60798727618,17606.26514075251,10279.321633285941,8753.055258391832,8303.23594558566,11036.95529471328,6447.618774303444,9496.635884974992,14295.386216619947,16411.04463863824,14630.612281049958,33828.92940796254,20792.77111190535,41011.267822291025,6077.3734100526435
2020-05-22 05:00:00,1446.8674493265808,29165.366690413346,5780.484944392346,10626.010116899804,2044.06712817882,5118.248555170081,-3308.1856163790217,-7003.276266905101,429.80065501202625,10876.27159162979,26721.200175225094,43807.75388508254,50520.68025314055,33057.030108253486,66978.23277102623,3497.4512848287955,1082.9497874876943,52329.55149426557,158231.5068048566,131174.5912596832,57017.386552194876,27689.164903157754,15213.36437388695,9876.340642168765,14117.071903789845,16915.33503456266,9075.813324305054,7762.321628377607,7310.4252316811035,11499.750109634322,9690.201886562361,9465.215421441655,14759.22175150576,16722.296854863976,14692.051830966004,33749.63347202983,20968.34125030688,40795.62392961335,6081.656002038792
2020-05-22 06:00:00,1482.6588617250268,29930.06446047282,5248.114066717322,13602.440168930618,1970.1119969778138,2052.5301273284367,-10132.110971991926,-8290.401259886647,2497.995587345933,12614.357424068614,31140.33725052481,49612.26287476508,55047.96114283999,31434.177258201787,66355.1960074621,3527.670074611549,1138.10771891056,50835.72641622034,149637.37091043865,127024.02565802122,63107.08103014622,27727.70122894122,16123.36707568858,12282.810167332882,11320.910752185398,14656.539736853132,6198.53585108446,10609.109976175196,8827.777693310341,11203.637786667354,8960.623201604045,10331.439036938838,16527.777143465246,18409.62864390216,13671.654835491463,34323.807414760944,26075.32818702957,40614.82778023217,6143.351227756448
2020-05-22 07:00:00,1727.794298203318,33624.40023281841,4045.1485571243556,38813.44312287144,2698.132706325916,-10164.108023000965,-5720.147110750007,-1917.3980640874142,14161.391274283455,22478.929649536523,42009.41828965969,50375.32260055242,55993.2561361281,33172.557225519144,64899.15516833645,3730.530065822375,1178.3136494093762,50859.46675692857,142535.1200883148,115773.14490521984,70434.00002016862,37328.92200615395,19083.96442600619,12896.909403481422,14792.110664305397,14572.479401718718,12334.443721811178,8847.874105983785,8710.121766116237,12515.877943315163,11006.718399536145,14026.33146746205,18480.370101791865,21775.546906514493,14995.010219964268,35935.28731627467,22041.75461777301,41087.38502666417,6265.60715893914
2020-05-22 08:00:00,2012.1405175165792,31096.211109668096,18391.278182670692,17273.497308510094,-3805.9921833690314,-2305.62582990792,9480.066704826113,21838.772635991612,27441.8265460717,29464.898072239408,38641.746605993845,43156.65356872613,47998.007922695295,33304.31789358674,58483.36712509407,4060.1802284276437,1324.5752035081855,52879.5153844173,109776.62227177224,144871.7435701266,97821.46155024688,52010.82703038673,27971.732305012418,26993.55143536001,22232.17177163752,18881.312199886343,18541.663639437746,27110.792195640246,21848.866308775498,9067.986346821439,21052.231998318068,18895.024641664215,24113.00083789567,29771.595654287874,13966.06962013965,39012.95021130938,21956.95055825472,30458.21733444678,6182.967210717783
2020-05-22 09:00:00,2148.9967383651438,33564.45756038395,30112.590624197004,12465.193677599698,-12050.082509133092,6547.479774778782,22272.905964099864,24031.776959980416,35233.25459458401,40004.57610016058,43973.49736476292,48535.95778066634,45714.6453320185,32128.669809238418,55342.56639949806,4296.328828484733,1450.4989336055298,54566.12539829656,97492.38785303611,115480.92444721701,101268.2191509738,64674.1662229122,46086.30378940685,39950.484871969726,32237.607085197345,28994.394986152092,18840.66756905434,19405.635801064578,19803.64859991553,8559.10327159104,20069.739513077035,20264.331325883028,24394.635333460123,26723.721830116236,13974.791113358988,39904.745820577686,22561.366564221276,10952.296437375659,5916.279983320935
